"Age_cat","Year","Num_child","Add_child_1","Add_chl_pyy"
"20-24",2023,"2",0.00719999999999795,0.00143999999999959
"20-24",2024,"2",0.00399999999999829,0.000799999999999659
"20-24",2025,"2",0.000799999999999636,0.000159999999999927
"20-24",2026,"2",0.000599999999999955,0.000119999999999991
"20-24",2027,"2",0.00059999999999995,0.00011999999999999
"20-24",2028,"2",0.000599999999999945,0.000119999999999989
"20-24",2029,"2",0.00059999999999994,0.000119999999999988
"20-24",2030,"2",0.000599999999999935,0.000119999999999987
"20-24",2031,"2",0.00059999999999993,0.000119999999999986
"20-24",2032,"2",0.000599999999999925,0.000119999999999985
"20-24",2033,"2",0.00059999999999992,0.000119999999999984
"20-24",2034,"2",0.000599999999999915,0.000119999999999983
"20-24",2035,"2",0.00059999999999991,0.000119999999999982
"20-24",2036,"2",0.000599999999999905,0.000119999999999981
"20-24",2037,"2",0.0005999999999999,0.00011999999999998
"20-24",2038,"2",0.000599999999999895,0.000119999999999979
"20-24",2039,"2",0.00059999999999989,0.000119999999999978
"20-24",2040,"2",0.000599999999999885,0.000119999999999977
"20-24",2020,"3",0.00279999999999969,0.000559999999999938
"20-24",2021,"3",0.00239999999999976,0.000479999999999953
"20-24",2022,"3",0.0019999999999997,0.000399999999999939
"20-24",2023,"3",0.00159999999999963,0.000319999999999926
"20-24",2024,"3",0.0011999999999997,0.000239999999999941
"20-24",2025,"3",0.000799999999999636,0.000159999999999927
"20-24",2026,"3",0.000599999999999955,0.000119999999999991
"20-24",2027,"3",0.00059999999999995,0.00011999999999999
"20-24",2028,"3",0.000599999999999945,0.000119999999999989
"20-24",2029,"3",0.00059999999999994,0.000119999999999988
"20-24",2030,"3",0.000599999999999935,0.000119999999999987
"20-24",2031,"3",0.00059999999999993,0.000119999999999986
"20-24",2032,"3",0.000599999999999925,0.000119999999999985
"20-24",2033,"3",0.00059999999999992,0.000119999999999984
"20-24",2034,"3",0.000599999999999915,0.000119999999999983
"20-24",2035,"3",0.00059999999999991,0.000119999999999982
"20-24",2036,"3",0.000599999999999905,0.000119999999999981
"20-24",2037,"3",0.0005999999999999,0.00011999999999998
"20-24",2038,"3",0.000599999999999895,0.000119999999999979
"20-24",2039,"3",0.00059999999999989,0.000119999999999978
"20-24",2040,"3",0.000599999999999885,0.000119999999999977
"20-24",2020,"4",0.000599999999999985,0.000119999999999997
"20-24",2021,"4",0.00059999999999998,0.000119999999999996
"20-24",2022,"4",0.000599999999999975,0.000119999999999995
"20-24",2023,"4",0.00059999999999997,0.000119999999999994
"20-24",2024,"4",0.000599999999999965,0.000119999999999993
"20-24",2025,"4",0.00059999999999996,0.000119999999999992
"20-24",2026,"4",0.000599999999999955,0.000119999999999991
"20-24",2027,"4",0.00059999999999995,0.00011999999999999
"20-24",2028,"4",0,0
"20-24",2029,"4",0,0
"20-24",2030,"4",0,0
"20-24",2031,"4",0,0
"20-24",2032,"4",0,0
"20-24",2033,"4",0,0
"20-24",2034,"4",0,0
"20-24",2035,"4",0,0
"20-24",2036,"4",0,0
"20-24",2037,"4",0,0
"20-24",2038,"4",0,0
"20-24",2039,"4",0,0
"20-24",2040,"4",0,0
"20-24",2020,"5+",0,0
"20-24",2021,"5+",0,0
"20-24",2022,"5+",0,0
"20-24",2023,"5+",0,0
"20-24",2024,"5+",0,0
"20-24",2025,"5+",0,0
"20-24",2026,"5+",0,0
"20-24",2027,"5+",0,0
"20-24",2028,"5+",0,0
