"Age_cat","Year","Num_child","Percentage","probs"
"25-29",2034,"5+",0,0
"25-29",2035,"5+",0,0
"25-29",2036,"5+",0,0
"25-29",2037,"5+",0,0
"25-29",2038,"5+",0,0
"25-29",2039,"5+",0,0
"25-29",2040,"5+",0,0
"30-34",2020,"0",17.0100000000004,0.170100000000004
"30-34",2021,"0",17.8200000000004,0.178200000000004
"30-34",2022,"0",18.6300000000003,0.186300000000003
"30-34",2023,"0",19.4400000000005,0.194400000000005
"30-34",2024,"0",20.2500000000005,0.202500000000005
"30-34",2025,"0",21.0600000000004,0.210600000000004
"30-34",2026,"0",21.8700000000003,0.218700000000003
"30-34",2027,"0",22.6800000000005,0.226800000000005
"30-34",2028,"0",23.4900000000005,0.234900000000005
"30-34",2029,"0",24.3000000000004,0.243000000000004
"30-34",2030,"0",25.1100000000006,0.251100000000006
"30-34",2031,"0",25.9200000000005,0.259200000000005
"30-34",2032,"0",26.7300000000005,0.267300000000005
"30-34",2033,"0",27.5400000000006,0.275400000000006
"30-34",2034,"0",28.3500000000006,0.283500000000006
"30-34",2035,"0",29.1600000000005,0.291600000000005
"30-34",2036,"0",29.9700000000005,0.299700000000005
"30-34",2037,"0",30.7800000000007,0.307800000000007
"30-34",2038,"0",31.5900000000006,0.315900000000006
"30-34",2039,"0",32.4000000000005,0.324000000000005
"30-34",2040,"0",33.2100000000007,0.332100000000007
"30-34",2020,"1",25.7600000000001,0.257600000000001
"30-34",2021,"1",26.0400000000001,0.260400000000001
"30-34",2022,"1",26.3200000000001,0.2632
"30-34",2023,"1",26.6,0.266
"30-34",2024,"1",26.8800000000001,0.268800000000001
"30-34",2025,"1",27.1600000000001,0.271600000000001
"30-34",2026,"1",27.4400000000001,0.274400000000001
"30-34",2027,"1",27.7200000000001,0.277200000000001
"30-34",2028,"1",28.0000000000001,0.280000000000001
"30-34",2029,"1",28.2800000000001,0.282800000000001
"30-34",2030,"1",28.5600000000002,0.285600000000002
"30-34",2031,"1",28.8400000000001,0.288400000000001
"30-34",2032,"1",29.1200000000001,0.291200000000001
"30-34",2033,"1",29.4000000000001,0.294000000000001
"30-34",2034,"1",29.6800000000002,0.296800000000002
"30-34",2035,"1",29.9600000000002,0.299600000000001
"30-34",2036,"1",30.2400000000001,0.302400000000001
"30-34",2037,"1",30.5200000000002,0.305200000000002
"30-34",2038,"1",30.8000000000002,0.308000000000002
"30-34",2039,"1",31.0800000000002,0.310800000000002
"30-34",2040,"1",31.3600000000002,0.313600000000002
"30-34",2020,"2",32.26,0.3226
"30-34",2021,"2",32.36,0.3236
"30-34",2022,"2",32.46,0.3246
"30-34",2023,"2",32.56,0.3256
"30-34",2024,"2",32.66,0.3266
"30-34",2025,"2",32.76,0.3276
"30-34",2026,"2",32.86,0.3286
"30-34",2027,"2",32.96,0.3296
"30-34",2028,"2",33.06,0.3306
"30-34",2029,"2",33.16,0.3316
"30-34",2030,"2",33.26,0.3326
"30-34",2031,"2",33.36,0.3336
"30-34",2032,"2",33.46,0.3346
"30-34",2033,"2",33.56,0.3356
"30-34",2034,"2",33.66,0.3366
"30-34",2035,"2",33.76,0.3376
"30-34",2036,"2",33.86,0.3386
"30-34",2037,"2",33.96,0.3396
"30-34",2038,"2",34.06,0.3406
"30-34",2039,"2",34.16,0.3416
"30-34",2040,"2",34.26,0.3426
"30-34",2020,"3",16.7299999999998,0.167299999999998
"30-34",2021,"3",16.4599999999998,0.164599999999998
"30-34",2022,"3",16.1899999999998,0.161899999999998
"30-34",2023,"3",15.9199999999998,0.159199999999998
"30-34",2024,"3",15.6499999999997,0.156499999999998
"30-34",2025,"3",15.3799999999998,0.153799999999998
"30-34",2026,"3",15.1099999999998,0.151099999999998
"30-34",2027,"3",14.8399999999998,0.148399999999998
"30-34",2028,"3",14.5699999999998,0.145699999999998
"30-34",2029,"3",14.2999999999997,0.142999999999997
"30-34",2030,"3",14.0299999999997,0.140299999999997
"30-34",2031,"3",13.7599999999998,0.137599999999998
"30-34",2032,"3",13.4899999999998,0.134899999999998
"30-34",2033,"3",13.2199999999998,0.132199999999998
"30-34",2034,"3",12.9499999999998,0.129499999999998
"30-34",2035,"3",12.6799999999997,0.126799999999997
"30-34",2036,"3",12.4099999999997,0.124099999999997
"30-34",2037,"3",12.1399999999998,0.121399999999998
"30-34",2038,"3",11.8699999999998,0.118699999999998
"30-34",2039,"3",11.5999999999998,0.115999999999998
"30-34",2040,"3",11.3299999999997,0.113299999999997
"30-34",2020,"4",5.80999999999983,0.0580999999999983
"30-34",2021,"4",5.41999999999985,0.0541999999999985
"30-34",2022,"4",5.02999999999975,0.0502999999999975
"30-34",2023,"4",4.63999999999976,0.0463999999999976
"30-34",2024,"4",4.24999999999977,0.0424999999999977
"30-34",2025,"4",3.85999999999979,0.0385999999999979
"30-34",2026,"4",3.4699999999998,0.034699999999998
"30-34",2027,"4",3.07999999999981,0.0307999999999981
"30-34",2028,"4",2.68999999999971,0.0268999999999971
"30-34",2029,"4",2.29999999999973,0.0229999999999973
"30-34",2030,"4",1.90999999999974,0.0190999999999974
"30-34",2031,"4",1.51999999999975,0.0151999999999975
"30-34",2032,"4",1.12999999999977,0.0112999999999977
"30-34",2033,"4",0.739999999999782,0.00739999999999782
"30-34",2034,"4",0.349999999999682,0.00349999999999682
"30-34",2035,"4",0,0
"30-34",2036,"4",0,0
"30-34",2037,"4",0,0
"30-34",2038,"4",0,0
"30-34",2039,"4",0,0
"30-34",2040,"4",0,0
"30-34",2020,"5+",2.41999999999985,0.0241999999999985
"30-34",2021,"5+",1.89999999999986,0.0189999999999986
"30-34",2022,"5+",1.37999999999988,0.0137999999999988
"30-34",2023,"5+",0.8599999999999,0.008599999999999
"30-34",2024,"5+",0.339999999999918,0.00339999999999918
"30-34",2025,"5+",0,0
"30-34",2026,"5+",0,0
"30-34",2027,"5+",0,0
"30-34",2028,"5+",0,0
"30-34",2029,"5+",0,0
"30-34",2030,"5+",0,0
"30-34",2031,"5+",0,0
"30-34",2032,"5+",0,0
"30-34",2033,"5+",0,0
"30-34",2034,"5+",0,0
"30-34",2035,"5+",0,0
"30-34",2036,"5+",0,0
"30-34",2037,"5+",0,0
"30-34",2038,"5+",0,0
"30-34",2039,"5+",0,0
"30-34",2040,"5+",0,0
"35-39",2020,"0",9.42999999999992,0.0942999999999992
"35-39",2021,"0",9.31999999999991,0.0931999999999991
"35-39",2022,"0",9.20999999999992,0.0920999999999992
"35-39",2023,"0",9.09999999999991,0.0909999999999991
"35-39",2024,"0",8.9899999999999,0.089899999999999
"35-39",2025,"0",8.87999999999988,0.0887999999999988
"35-39",2026,"0",8.76999999999987,0.0876999999999987
"35-39",2027,"0",8.65999999999985,0.0865999999999985
"35-39",2028,"0",8.54999999999987,0.0854999999999987
"35-39",2029,"0",8.43999999999986,0.0843999999999986
"35-39",2030,"0",8.32999999999984,0.0832999999999984
"35-39",2031,"0",8.21999999999983,0.0821999999999983
"35-39",2032,"0",8.10999999999981,0.0810999999999981
"35-39",2033,"0",7.9999999999998,0.079999999999998
"35-39",2034,"0",7.88999999999982,0.0788999999999982
"35-39",2035,"0",7.7799999999998,0.077799999999998
"35-39",2036,"0",7.66999999999979,0.0766999999999979
"35-39",2037,"0",7.55999999999977,0.0755999999999978
"35-39",2038,"0",7.44999999999976,0.0744999999999976
"35-39",2039,"0",7.33999999999975,0.0733999999999975
"35-39",2040,"0",7.22999999999976,0.0722999999999976
"35-39",2020,"1",18.3100000000003,0.183100000000003
"35-39",2021,"1",18.7800000000003,0.187800000000003
"35-39",2022,"1",19.2500000000002,0.192500000000002
"35-39",2023,"1",19.7200000000003,0.197200000000003
"35-39",2024,"1",20.1900000000003,0.201900000000003
"35-39",2025,"1",20.6600000000003,0.206600000000003
"35-39",2026,"1",21.1300000000003,0.211300000000003
"35-39",2027,"1",21.6000000000004,0.216000000000004
"35-39",2028,"1",22.0700000000003,0.220700000000003
"35-39",2029,"1",22.5400000000003,0.225400000000003
"35-39",2030,"1",23.0100000000003,0.230100000000003
"35-39",2031,"1",23.4800000000004,0.234800000000004
"35-39",2032,"1",23.9500000000004,0.239500000000004
"35-39",2033,"1",24.4200000000004,0.244200000000004
"35-39",2034,"1",24.8900000000003,0.248900000000003
"35-39",2035,"1",25.3600000000004,0.253600000000004
"35-39",2036,"1",25.8300000000004,0.258300000000004
"35-39",2037,"1",26.3000000000004,0.263000000000004
"35-39",2038,"1",26.7700000000004,0.267700000000004
"35-39",2039,"1",27.2400000000005,0.272400000000005
"35-39",2040,"1",27.7100000000004,0.277100000000004
"35-39",2020,"2",32.0100000000002,0.320100000000002
"35-39",2021,"2",32.3600000000002,0.323600000000002
"35-39",2022,"2",32.7100000000002,0.327100000000002
"35-39",2023,"2",33.0600000000002,0.330600000000002
"35-39",2024,"2",33.4100000000002,0.334100000000002
"35-39",2025,"2",33.7600000000002,0.337600000000002
"35-39",2026,"2",34.1100000000002,0.341100000000002
"35-39",2027,"2",34.4600000000003,0.344600000000003
"35-39",2028,"2",34.8100000000003,0.348100000000003
"35-39",2029,"2",35.1600000000003,0.351600000000003
"35-39",2030,"2",35.5100000000003,0.355100000000003
"35-39",2031,"2",35.8600000000004,0.358600000000004
"35-39",2032,"2",36.2100000000004,0.362100000000004
"35-39",2033,"2",36.5600000000003,0.365600000000003
"35-39",2034,"2",36.9100000000003,0.369100000000003
"35-39",2035,"2",37.2600000000003,0.372600000000003
"35-39",2036,"2",37.6100000000004,0.376100000000004
"35-39",2037,"2",37.9600000000004,0.379600000000004
"35-39",2038,"2",38.3100000000004,0.383100000000004
"35-39",2039,"2",38.6600000000004,0.386600000000004
"35-39",2040,"2",39.0100000000004,0.390100000000004
"35-39",2020,"3",23.2300000000001,0.232300000000001
"35-39",2021,"3",23.6200000000001,0.236200000000001
"35-39",2022,"3",24.0100000000001,0.240100000000001
"35-39",2023,"3",24.4000000000001,0.244000000000001
"35-39",2024,"3",24.7900000000002,0.247900000000002
"35-39",2025,"3",25.1800000000002,0.251800000000002
"35-39",2026,"3",25.5700000000002,0.255700000000002
"35-39",2027,"3",25.9600000000002,0.259600000000001
"35-39",2028,"3",26.3500000000001,0.263500000000001
"35-39",2029,"3",26.7400000000002,0.267400000000002
"35-39",2030,"3",27.1300000000002,0.271300000000002
"35-39",2031,"3",27.5200000000002,0.275200000000002
"35-39",2032,"3",27.9100000000002,0.279100000000002
"35-39",2033,"3",28.3000000000002,0.283000000000002
"35-39",2034,"3",28.6900000000002,0.286900000000002
"35-39",2035,"3",29.0800000000003,0.290800000000003
"35-39",2036,"3",29.4700000000003,0.294700000000003
"35-39",2037,"3",29.8600000000002,0.298600000000002
"35-39",2038,"3",30.2500000000002,0.302500000000002
"35-39",2039,"3",30.6400000000002,0.306400000000002
"35-39",2040,"3",31.0300000000003,0.310300000000003
"35-39",2020,"4",11.15,0.1115
"35-39",2021,"4",11.16,0.1116
"35-39",2022,"4",11.17,0.1117
"35-39",2023,"4",11.18,0.1118
"35-39",2024,"4",11.19,0.1119
"35-39",2025,"4",11.2,0.112
"35-39",2026,"4",11.21,0.1121
"35-39",2027,"4",11.22,0.1122
"35-39",2028,"4",11.23,0.1123
"35-39",2029,"4",11.24,0.1124
"35-39",2030,"4",11.25,0.1125
"35-39",2031,"4",11.26,0.1126
"35-39",2032,"4",11.27,0.1127
"35-39",2033,"4",11.28,0.1128
"35-39",2034,"4",11.29,0.1129
"35-39",2035,"4",11.3,0.113
"35-39",2036,"4",11.31,0.1131
"35-39",2037,"4",11.32,0.1132
"35-39",2038,"4",11.33,0.1133
"35-39",2039,"4",11.34,0.1134
"35-39",2040,"4",11.35,0.1135
"35-39",2020,"5+",5.96999999999935,0.0596999999999935
"35-39",2021,"5+",4.85999999999967,0.0485999999999967
"35-39",2022,"5+",3.74999999999955,0.0374999999999955
"35-39",2023,"5+",2.63999999999942,0.0263999999999942
"35-39",2024,"5+",1.52999999999929,0.0152999999999929
"35-39",2025,"5+",0.419999999999618,0.00419999999999618
"35-39",2026,"5+",0,0
"35-39",2027,"5+",0,0
"35-39",2028,"5+",0,0
"35-39",2029,"5+",0,0
"35-39",2030,"5+",0,0
"35-39",2031,"5+",0,0
"35-39",2032,"5+",0,0
"35-39",2033,"5+",0,0
"35-39",2034,"5+",0,0
"35-39",2035,"5+",0,0
"35-39",2036,"5+",0,0
"35-39",2037,"5+",0,0
"35-39",2038,"5+",0,0
"35-39",2039,"5+",0,0
"35-39",2040,"5+",0,0
"40-44",2020,"0",6.7299999999999,0.067299999999999
"40-44",2021,"0",6.57999999999987,0.0657999999999987
"40-44",2022,"0",6.42999999999989,0.0642999999999989
"40-44",2023,"0",6.27999999999986,0.0627999999999986
"40-44",2024,"0",6.12999999999988,0.0612999999999988
"40-44",2025,"0",5.97999999999985,0.0597999999999985
"40-44",2026,"0",5.82999999999987,0.0582999999999987
"40-44",2027,"0",5.67999999999984,0.0567999999999984
"40-44",2028,"0",5.52999999999986,0.0552999999999986
"40-44",2029,"0",5.37999999999982,0.0537999999999983
"40-44",2030,"0",5.22999999999985,0.0522999999999985
"40-44",2031,"0",5.07999999999981,0.0507999999999981
"40-44",2032,"0",4.92999999999984,0.0492999999999984
"40-44",2033,"0",4.7799999999998,0.047799999999998
"40-44",2034,"0",4.62999999999982,0.0462999999999983
"40-44",2035,"0",4.47999999999979,0.0447999999999979
"40-44",2036,"0",4.32999999999981,0.0432999999999981
"40-44",2037,"0",4.17999999999978,0.0417999999999978
"40-44",2038,"0",4.0299999999998,0.040299999999998
"40-44",2039,"0",3.87999999999977,0.0387999999999977
"40-44",2040,"0",3.72999999999979,0.0372999999999979
"40-44",2020,"1",14.5300000000002,0.145300000000002
"40-44",2021,"1",15.1600000000001,0.151600000000001
"40-44",2022,"1",15.7900000000002,0.157900000000002
"40-44",2023,"1",16.4200000000003,0.164200000000003
"40-44",2024,"1",17.0500000000002,0.170500000000002
"40-44",2025,"1",17.6800000000003,0.176800000000003
"40-44",2026,"1",18.3100000000002,0.183100000000002
